ID,year,candidate,party,candidatevotes,totalvotes,county_state
1,2016,c2,p2,5936.0,24973,1
2,2016,c1,p1,18172.0,24973,2
3,2016,c2,p2,18458.0,95215,3
4,2016,c1,p1,72883.0,95215,4
5,2016,c2,p2,4871.0,10469,5
6,2016,c1,p1,5454.0,10469,6
7,2016,c2,p2,1874.0,8819,7
8,2016,c1,p1,6738.0,8819,8
9,2016,c2,p2,2156.0,25588,9
10,2016,c1,p1,22859.0,25588,10
11,2016,c2,p2,3530.0,4710,11
12,2016,c1,p1,1140.0,4710,12
13,2016,c2,p2,3726.0,8732,13
14,2016,c1,p1,4901.0,8732,14
15,2016,c2,p2,13242.0,47864,15
16,2016,c1,p1,32865.0,47864,16
17,2016,c2,p2,5784.0,13900,17
18,2016,c1,p1,7843.0,13900,18
19,2016,c2,p2,1547.0,10733,19
20,2016,c1,p1,8953.0,10733,20
21,2016,c2,p2,2911.0,18369,21
22,2016,c1,p1,15081.0,18369,22
23,2016,c2,p2,3109.0,7292,23
24,2016,c1,p1,4106.0,7292,24
25,2016,c2,p2,5749.0,13031,25
26,2016,c1,p1,7140.0,13031,26
27,2016,c2,p2,1237.0,6624,27
28,2016,c1,p1,5245.0,6624,28
29,2016,c2,p2,684.0,6593,29
30,2016,c1,p1,5764.0,6593,30
31,2016,c2,p2,4221.0,20767,31
32,2016,c1,p1,15875.0,20767,32
33,2016,c2,p2,7312.0,24915,33
34,2016,c1,p1,16746.0,24915,34
35,2016,c2,p2,3080.0,6585,35
36,2016,c1,p1,3420.0,6585,36
37,2016,c2,p2,1782.0,5252,37
38,2016,c1,p1,3381.0,5252,38
39,2016,c2,p2,2387.0,15940,39
40,2016,c1,p1,13267.0,15940,40
41,2016,c2,p2,1664.0,6267,41
42,2016,c1,p1,4513.0,6267,42
43,2016,c2,p2,3798.0,37873,43
44,2016,c1,p1,32989.0,37873,44
45,2016,c2,p2,4413.0,18749,45
46,2016,c1,p1,13808.0,18749,46
47,2016,c2,p2,12836.0,18792,47
48,2016,c1,p1,5789.0,18792,48
49,2016,c2,p2,3622.0,25826,49
50,2016,c1,p1,21405.0,25826,50
51,2016,c2,p2,8443.0,37260,51
52,2016,c1,p1,27634.0,37260,52
53,2016,c2,p2,4605.0,14845,53
54,2016,c1,p1,9935.0,14845,54
55,2016,c2,p2,10442.0,44164,55
56,2016,c1,p1,32353.0,44164,56
57,2016,c2,p2,1362.0,8249,57
58,2016,c1,p1,6712.0,8249,58
59,2016,c2,p2,2197.0,12040,59
60,2016,c1,p1,9466.0,12040,60
61,2016,c2,p2,1525.0,11758,61
62,2016,c1,p1,9994.0,11758,62
63,2016,c2,p2,4013.0,4880,63
64,2016,c1,p1,838.0,4880,64
65,2016,c2,p2,4775.0,8040,65
66,2016,c1,p1,3173.0,8040,66
67,2016,c2,p2,2292.0,8072,67
68,2016,c1,p1,5632.0,8072,68
69,2016,c2,p2,10664.0,42639,69
70,2016,c1,p1,30728.0,42639,70
71,2016,c2,p2,3673.0,20984,71
72,2016,c1,p1,16672.0,20984,72
73,2016,c2,p2,156873.0,304191,73
74,2016,c1,p1,134768.0,304191,74
75,2016,c2,p2,1036.0,6966,75
76,2016,c1,p1,5823.0,6966,76
77,2016,c2,p2,9952.0,39525,77
78,2016,c1,p1,27899.0,39525,78
79,2016,c2,p2,3627.0,14829,79
80,2016,c1,p1,10833.0,14829,80
81,2016,c2,p2,21230.0,59191,81
82,2016,c1,p1,34617.0,59191,82
83,2016,c2,p2,9468.0,40294,83
84,2016,c1,p1,29067.0,40294,84
85,2016,c2,p2,4883.0,6684,85
86,2016,c1,p1,1751.0,6684,86
87,2016,c2,p2,7566.0,9140,87
88,2016,c1,p1,1431.0,9140,88
89,2016,c2,p2,62822.0,163389,89
90,2016,c1,p1,89520.0,163389,90
91,2016,c2,p2,5615.0,10994,91
92,2016,c1,p1,5233.0,10994,92
93,2016,c2,p2,1432.0,12984,93
94,2016,c1,p1,11274.0,12984,94
95,2016,c2,p2,4917.0,35316,95
96,2016,c1,p1,29233.0,35316,96
97,2016,c2,p2,72186.0,172737,97
98,2016,c1,p1,95116.0,172737,98
99,2016,c2,p2,4332.0,10271,99
100,2016,c1,p1,5795.0,10271,100
101,2016,c2,p2,58916.0,95878,101
102,2016,c1,p1,34003.0,95878,102
103,2016,c2,p2,11254.0,50644,103
104,2016,c1,p1,37486.0,50644,104
105,2016,c2,p2,3824.0,5278,105
106,2016,c1,p1,1407.0,5278,106
107,2016,c2,p2,3972.0,9542,107
108,2016,c1,p1,5456.0,9542,108
109,2016,c2,p2,5056.0,13168,109
110,2016,c1,p1,7693.0,13168,110
111,2016,c2,p2,2291.0,10187,111
112,2016,c1,p1,7705.0,10187,112
113,2016,c2,p2,9579.0,19256,113
114,2016,c1,p1,9210.0,19256,114
115,2016,c2,p2,5589.0,38400,115
116,2016,c1,p1,31651.0,38400,116
117,2016,c2,p2,22977.0,101254,117
118,2016,c1,p1,73020.0,101254,118
119,2016,c2,p2,4746.0,6411,119
120,2016,c1,p1,1581.0,6411,120
121,2016,c2,p2,12121.0,33407,121
122,2016,c1,p1,20614.0,33407,122
123,2016,c2,p2,5519.0,19486,123
124,2016,c1,p1,13594.0,19486,124
125,2016,c2,p2,31762.0,82700,125
126,2016,c1,p1,47723.0,82700,126
127,2016,c2,p2,4497.0,29472,127
128,2016,c1,p1,24266.0,29472,128
