ID,year,candidate,party,candidatevotes,totalvotes,county_state
1,2016,Hillary Clinton,DEM,5936.0,24973,"Autauga,Alabama"
2,2016,Donald Trump,REP,18172.0,24973,"Autauga,Alabama"
3,2016,Hillary Clinton,DEM,18458.0,95215,"Baldwin,Alabama"
4,2016,Donald Trump,REP,72883.0,95215,"Baldwin,Alabama"
5,2016,Hillary Clinton,DEM,4871.0,10469,"Barbour,Alabama"
6,2016,Donald Trump,REP,5454.0,10469,"Barbour,Alabama"
7,2016,Hillary Clinton,DEM,1874.0,8819,"Bibb,Alabama"
8,2016,Donald Trump,REP,6738.0,8819,"Bibb,Alabama"
9,2016,Hillary Clinton,DEM,2156.0,25588,"Blount,Alabama"
10,2016,Donald Trump,REP,22859.0,25588,"Blount,Alabama"
11,2016,Hillary Clinton,DEM,3530.0,4710,"Bullock,Alabama"
12,2016,Donald Trump,REP,1140.0,4710,"Bullock,Alabama"
13,2016,Hillary Clinton,DEM,3726.0,8732,"Butler,Alabama"
14,2016,Donald Trump,REP,4901.0,8732,"Butler,Alabama"
15,2016,Hillary Clinton,DEM,13242.0,47864,"Calhoun,Alabama"
16,2016,Donald Trump,REP,32865.0,47864,"Calhoun,Alabama"
17,2016,Hillary Clinton,DEM,5784.0,13900,"Chambers,Alabama"
18,2016,Donald Trump,REP,7843.0,13900,"Chambers,Alabama"
19,2016,Hillary Clinton,DEM,1547.0,10733,"Cherokee,Alabama"
20,2016,Donald Trump,REP,8953.0,10733,"Cherokee,Alabama"
21,2016,Hillary Clinton,DEM,2911.0,18369,"Chilton,Alabama"
22,2016,Donald Trump,REP,15081.0,18369,"Chilton,Alabama"
23,2016,Hillary Clinton,DEM,3109.0,7292,"Choctaw,Alabama"
24,2016,Donald Trump,REP,4106.0,7292,"Choctaw,Alabama"
25,2016,Hillary Clinton,DEM,5749.0,13031,"Clarke,Alabama"
26,2016,Donald Trump,REP,7140.0,13031,"Clarke,Alabama"
27,2016,Hillary Clinton,DEM,1237.0,6624,"Clay,Alabama"
28,2016,Donald Trump,REP,5245.0,6624,"Clay,Alabama"
29,2016,Hillary Clinton,DEM,684.0,6593,"Cleburne,Alabama"
30,2016,Donald Trump,REP,5764.0,6593,"Cleburne,Alabama"
31,2016,Hillary Clinton,DEM,4221.0,20767,"Coffee,Alabama"
32,2016,Donald Trump,REP,15875.0,20767,"Coffee,Alabama"
33,2016,Hillary Clinton,DEM,7312.0,24915,"Colbert,Alabama"
34,2016,Donald Trump,REP,16746.0,24915,"Colbert,Alabama"
35,2016,Hillary Clinton,DEM,3080.0,6585,"Conecuh,Alabama"
36,2016,Donald Trump,REP,3420.0,6585,"Conecuh,Alabama"
37,2016,Hillary Clinton,DEM,1782.0,5252,"Coosa,Alabama"
38,2016,Donald Trump,REP,3381.0,5252,"Coosa,Alabama"
39,2016,Hillary Clinton,DEM,2387.0,15940,"Covington,Alabama"
40,2016,Donald Trump,REP,13267.0,15940,"Covington,Alabama"
41,2016,Hillary Clinton,DEM,1664.0,6267,"Crenshaw,Alabama"
42,2016,Donald Trump,REP,4513.0,6267,"Crenshaw,Alabama"
43,2016,Hillary Clinton,DEM,3798.0,37873,"Cullman,Alabama"
44,2016,Donald Trump,REP,32989.0,37873,"Cullman,Alabama"
45,2016,Hillary Clinton,DEM,4413.0,18749,"Dale,Alabama"
46,2016,Donald Trump,REP,13808.0,18749,"Dale,Alabama"
47,2016,Hillary Clinton,DEM,12836.0,18792,"Dallas,Alabama"
48,2016,Donald Trump,REP,5789.0,18792,"Dallas,Alabama"
49,2016,Hillary Clinton,DEM,3622.0,25826,"DeKalb,Alabama"
50,2016,Donald Trump,REP,21405.0,25826,"DeKalb,Alabama"
51,2016,Hillary Clinton,DEM,8443.0,37260,"Elmore,Alabama"
52,2016,Donald Trump,REP,27634.0,37260,"Elmore,Alabama"
53,2016,Hillary Clinton,DEM,4605.0,14845,"Escambia,Alabama"
54,2016,Donald Trump,REP,9935.0,14845,"Escambia,Alabama"
55,2016,Hillary Clinton,DEM,10442.0,44164,"Etowah,Alabama"
56,2016,Donald Trump,REP,32353.0,44164,"Etowah,Alabama"
57,2016,Hillary Clinton,DEM,1362.0,8249,"Fayette,Alabama"
58,2016,Donald Trump,REP,6712.0,8249,"Fayette,Alabama"
59,2016,Hillary Clinton,DEM,2197.0,12040,"Franklin,Alabama"
60,2016,Donald Trump,REP,9466.0,12040,"Franklin,Alabama"
61,2016,Hillary Clinton,DEM,1525.0,11758,"Geneva,Alabama"
62,2016,Donald Trump,REP,9994.0,11758,"Geneva,Alabama"
63,2016,Hillary Clinton,DEM,4013.0,4880,"Greene,Alabama"
64,2016,Donald Trump,REP,838.0,4880,"Greene,Alabama"
65,2016,Hillary Clinton,DEM,4775.0,8040,"Hale,Alabama"
66,2016,Donald Trump,REP,3173.0,8040,"Hale,Alabama"
67,2016,Hillary Clinton,DEM,2292.0,8072,"Henry,Alabama"
68,2016,Donald Trump,REP,5632.0,8072,"Henry,Alabama"
69,2016,Hillary Clinton,DEM,10664.0,42639,"Houston,Alabama"
